reads,cache_misses
100000,4
101000,3
102000,1
103000,4
104000,7
105000,2
106000,1
107000,0
108000,1
109000,0
110000,1
111000,3
112000,1
113000,1
114000,1
115000,1
116000,1
117000,1
118000,0
119000,0
120000,0
121000,0
122000,0
123000,0
124000,0
125000,0
126000,0
127000,2
128000,1
129000,1
130000,0
131000,0
132000,1
133000,1
134000,1
135000,3
136000,0
137000,2
138000,0
139000,9
140000,1
141000,0
142000,1
143000,0
144000,2
145000,10
146000,12
147000,2
148000,2
149000,1
150000,1
151000,6
152000,3
153000,2
154000,71
155000,0
156000,1
157000,1
158000,22
159000,44
160000,0
161000,1
162000,0
163000,13
164000,8
165000,2
166000,5
167000,3
168000,12
169000,22
170000,158
171000,26
172000,5
173000,490
174000,235
175000,64
176000,73
177000,244
178000,68
179000,73
180000,278
181000,19
182000,16
183000,56
184000,7
185000,841
186000,806
187000,784
188000,401
189000,108
190000,355
191000,86
192000,17
193000,238
194000,322
195000,51
196000,467
197000,242
198000,179
199000,110
200000,56
201000,549
202000,415
203000,377
204000,760
205000,31
206000,243
207000,355
208000,25
209000,591
210000,96
211000,212
212000,539
213000,10
214000,344
215000,17
216000,548
217000,52
218000,325
219000,59
220000,53
221000,32
222000,329
223000,340
224000,185
225000,83
226000,49
227000,33
228000,24
229000,227
230000,100
231000,595
232000,671
233000,672
234000,647
235000,776
236000,122
237000,590
238000,760
239000,655
240000,594
241000,694
242000,643
243000,639
244000,729
245000,117
246000,374
247000,276
248000,66
249000,724
250000,920
251000,720
252000,205
253000,63
254000,40
255000,102
256000,20
257000,25
258000,105
259000,21
260000,483
261000,529
262000,706
263000,27
264000,185
265000,739
266000,256
267000,882
268000,452
269000,877
270000,884
271000,388
272000,273
273000,284
274000,283
275000,821
276000,548
277000,190
278000,293
279000,410
280000,229
281000,532
282000,79
283000,685
284000,689
285000,425
286000,567
287000,834
288000,935
289000,699
290000,456
291000,770
292000,708
293000,818
294000,820
295000,782
296000,285
297000,878
298000,842
299000,865
300000,18
301000,671
302000,927
303000,897
304000,716
305000,647
306000,702
307000,783
308000,703
309000,901
310000,687
311000,627
312000,740
313000,653
314000,829
315000,608
316000,685
317000,841
318000,564
319000,669
320000,881
321000,826
322000,749
323000,47
324000,767
325000,883
326000,740
327000,775
328000,927
329000,601
330000,728
331000,698
332000,821
333000,481
334000,861
335000,667
336000,518
337000,735
338000,645
339000,22
340000,638
341000,44
342000,912
343000,778
344000,828
345000,716
346000,629
347000,516
348000,761
349000,914
350000,30
351000,830
352000,705
353000,815
354000,765
355000,805
356000,810
357000,690
358000,662
359000,879
360000,710
361000,776
362000,642
363000,926
364000,686
365000,721
366000,84
367000,915
368000,547
369000,730
370000,728
371000,718
372000,864
373000,538
374000,890
375000,681
376000,926
377000,822
378000,752
379000,771
380000,867
381000,895
382000,605
383000,689
384000,747
385000,773
386000,690
387000,913
388000,868
389000,907
390000,889
391000,918
392000,844
393000,833
394000,763
395000,35
396000,839
397000,50
398000,823
399000,855
400000,192
401000,958
402000,971
403000,727
404000,132
405000,935
406000,749
407000,729
408000,756
409000,881
410000,822
411000,757
412000,778
413000,710
414000,938
415000,822
416000,853
417000,932
418000,854
419000,748
420000,843
421000,542
422000,901
423000,789
424000,856
425000,787
426000,607
427000,941
428000,752
429000,598
430000,858
431000,817
432000,838
433000,769
434000,676
435000,888
436000,842
437000,858
438000,794
439000,938
440000,907
441000,852
442000,835
443000,954
444000,826
445000,906
446000,815
447000,666
448000,822
449000,702
450000,693
451000,710
452000,913
453000,593
454000,865
455000,893
456000,788
457000,842
458000,715
459000,757
460000,670
461000,972
462000,916
463000,944
464000,897
465000,894
466000,833
467000,841
468000,840
469000,989
470000,849
471000,68
472000,775
473000,902
474000,883
475000,947
476000,183
477000,920
478000,940
479000,432
480000,944
481000,938
482000,902
483000,867
484000,57
485000,838
486000,776
487000,993
488000,823
489000,879
490000,933
491000,936
492000,831
493000,942
494000,747
495000,986
496000,952
497000,964
498000,923
499000,989
500000,948
