reads,cache_misses
0,0
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,0
1300,0
1400,0
1500,0
1600,0
1700,1
1800,0
1900,0
2000,0
2100,0
2200,0
2300,0
2400,0
2500,0
2600,0
2700,0
2800,0
2900,0
3000,0
3100,0
3200,0
3300,0
3400,0
3500,0
3600,0
3700,0
3800,0
3900,0
4000,0
4100,0
4200,0
4300,0
4400,0
4500,0
4600,0
4700,0
4800,0
4900,0
5000,0
5100,0
5200,0
5300,0
5400,0
5500,0
5600,0
5700,0
5800,0
5900,0
6000,0
6100,0
6200,0
6300,0
6400,0
6500,0
6600,0
6700,0
6800,0
6900,0
7000,0
7100,0
7200,0
7300,2
7400,0
7500,0
7600,0
7700,0
7800,0
7900,0
8000,0
8100,0
8200,0
8300,0
8400,0
8500,0
8600,0
8700,0
8800,0
8900,0
9000,0
9100,0
9200,0
9300,0
9400,0
9500,0
9600,0
9700,0
9800,0
9900,0
10000,0
10100,0
10200,0
10300,0
10400,0
10500,0
10600,0
10700,0
10800,0
10900,0
11000,0
11100,0
11200,0
11300,1
11400,0
11500,0
11600,0
11700,0
11800,0
11900,0
12000,0
12100,0
12200,0
12300,2
12400,0
12500,0
12600,0
12700,0
12800,0
12900,0
13000,0
13100,0
13200,0
13300,0
13400,0
13500,0
13600,1
13700,0
13800,0
13900,1
14000,0
14100,0
14200,0
14300,0
14400,0
14500,1
14600,1
14700,0
14800,1
14900,4
15000,2
15100,1
15200,0
15300,0
15400,0
15500,0
15600,2
15700,0
15800,3
15900,0
16000,0
16100,2
16200,2
16300,2
16400,1
16500,0
16600,1
16700,1
16800,0
16900,4
17000,1
17100,1
17200,3
17300,0
17400,4
17500,3
17600,2
17700,4
17800,8
17900,4
18000,5
18100,2
18200,3
18300,4
18400,4
18500,6
18600,7
18700,6
18800,4
18900,6
19000,8
19100,11
19200,6
19300,8
19400,12
19500,5
19600,10
19700,11
19800,11
19900,13
20000,8
20100,11
20200,13
20300,13
20400,12
20500,15
20600,11
20700,17
20800,18
20900,21
21000,16
21100,10
21200,16
21300,16
21400,19
21500,17
21600,22
21700,21
21800,16
21900,19
22000,25
22100,30
22200,16
22300,18
22400,23
22500,24
22600,12
22700,19
22800,26
22900,25
23000,19
23100,30
23200,33
23300,24
23400,33
23500,35
23600,32
23700,34
23800,37
23900,38
24000,34
24100,28
24200,33
24300,40
24400,32
24500,30
24600,35
24700,36
24800,33
24900,40
25000,32
25100,39
25200,35
25300,46
25400,36
25500,50
25600,39
25700,51
25800,48
25900,53
26000,44
26100,50
26200,45
26300,51
26400,49
26500,46
26600,61
26700,49
26800,57
26900,53
27000,61
27100,66
27200,66
27300,62
27400,53
27500,70
27600,69
27700,61
27800,68
27900,75
28000,67
28100,86
28200,65
28300,78
28400,78
28500,74
28600,73
28700,71
28800,76
28900,72
29000,72
29100,72
29200,84
29300,83
29400,86
29500,75
29600,78
29700,77
29800,81
29900,87
30000,83
30100,81
30200,89
30300,82
30400,92
30500,87
30600,88
30700,90
30800,90
30900,88
31000,90
31100,83
31200,81
31300,90
31400,89
31500,89
31600,90
31700,84
31800,83
31900,86
32000,96
32100,88
32200,92
32300,91
32400,93
32500,92
32600,91
32700,93
32800,91
32900,96
33000,91
33100,97
33200,95
33300,96
33400,98
33500,97
33600,92
33700,97
33800,94
33900,98
34000,93
34100,98
34200,96
34300,97
34400,94
34500,95
34600,96
34700,94
34800,96
34900,98
35000,98
35100,95
35200,99
35300,98
35400,98
35500,98
35600,99
35700,100
35800,97
35900,97
36000,98
36100,100
36200,98
36300,97
36400,100
36500,98
36600,97
36700,95
36800,96
36900,99
37000,96
37100,99
37200,97
37300,99
37400,97
37500,97
37600,98
37700,97
37800,100
37900,97
38000,100
38100,98
38200,99
38300,99
38400,98
38500,100
38600,98
38700,99
38800,99
38900,100
39000,98
39100,100
39200,100
39300,100
39400,100
39500,100
39600,99
39700,97
39800,100
39900,100
40000,99
