reads,cache_misses
100000,3
101000,2
102000,1
103000,5
104000,4
105000,1
106000,0
107000,0
108000,1
109000,1
110000,1
111000,11
112000,0
113000,0
114000,0
115000,0
116000,0
117000,0
118000,2
119000,2
120000,0
121000,0
122000,1
123000,0
124000,2
125000,0
126000,0
127000,1
128000,0
129000,0
130000,1
131000,0
132000,0
133000,3
134000,17
135000,3
136000,1
137000,0
138000,16
139000,1
140000,4
141000,3
142000,1
143000,1
144000,0
145000,1
146000,2
147000,0
148000,1
149000,1
150000,1
151000,0
152000,2
153000,0
154000,1
155000,0
156000,0
157000,5
158000,2
159000,0
160000,3
161000,0
162000,6
163000,6
164000,8
165000,4
166000,14
167000,24
168000,9
169000,25
170000,701
171000,663
172000,109
173000,116
174000,15
175000,13
176000,895
177000,106
178000,78
179000,814
180000,89
181000,454
182000,30
183000,130
184000,14
185000,124
186000,631
187000,38
188000,656
189000,28
190000,589
191000,148
192000,19
193000,14
194000,781
195000,42
196000,59
197000,362
198000,53
199000,438
200000,31
201000,562
202000,694
203000,641
204000,229
205000,662
206000,84
207000,167
208000,35
209000,397
210000,271
211000,61
212000,89
213000,77
214000,548
215000,821
216000,518
217000,688
218000,716
219000,533
220000,515
221000,525
222000,520
223000,428
224000,835
225000,524
226000,596
227000,592
228000,751
229000,748
230000,754
231000,636
232000,625
233000,679
234000,718
235000,641
236000,564
237000,573
238000,775
239000,739
240000,738
241000,803
242000,640
243000,579
244000,576
245000,827
246000,769
247000,662
248000,629
249000,738
250000,670
251000,657
252000,597
253000,490
254000,249
255000,297
256000,388
257000,49
258000,36
259000,150
260000,301
261000,125
262000,516
263000,712
264000,694
265000,631
266000,629
267000,340
268000,616
269000,281
270000,208
271000,388
272000,126
273000,213
274000,361
275000,824
276000,864
277000,779
278000,852
279000,365
280000,692
281000,864
282000,924
283000,935
284000,784
285000,889
286000,903
287000,406
288000,921
289000,850
290000,768
291000,892
292000,893
293000,961
294000,928
295000,869
296000,972
297000,965
298000,963
299000,981
300000,855
301000,956
302000,853
303000,877
304000,956
305000,939
306000,911
307000,976
308000,971
309000,737
310000,887
311000,979
312000,932
313000,955
314000,976
315000,910
316000,971
317000,925
318000,992
319000,918
320000,974
321000,908
322000,929
323000,962
324000,989
325000,144
326000,901
327000,988
328000,870
329000,905
330000,906
331000,831
332000,851
333000,982
334000,955
335000,929
336000,964
337000,986
338000,889
339000,926
340000,910
341000,892
342000,959
343000,902
344000,977
345000,966
346000,984
347000,924
348000,940
349000,941
350000,937
351000,694
352000,891
353000,906
354000,982
355000,959
356000,989
357000,992
358000,980
359000,975
360000,987
361000,960
362000,974
363000,967
364000,946
365000,980
366000,979
367000,946
368000,986
369000,967
370000,946
371000,965
372000,991
373000,795
374000,995
375000,990
376000,946
377000,962
378000,961
379000,991
380000,980
381000,949
382000,892
383000,957
384000,965
385000,504
386000,969
387000,992
388000,919
389000,981
390000,970
391000,987
392000,959
393000,857
394000,980
395000,993
396000,976
397000,899
398000,991
399000,980
400000,969
401000,350
402000,983
403000,988
404000,988
405000,758
406000,938
407000,980
408000,969
409000,948
410000,453
411000,845
412000,923
413000,985
414000,995
415000,664
416000,887
417000,983
418000,994
419000,998
420000,954
421000,960
422000,842
423000,985
424000,978
425000,984
426000,949
427000,932
428000,977
429000,989
430000,809
431000,963
432000,961
433000,981
434000,996
435000,992
436000,985
437000,956
438000,991
439000,994
440000,920
441000,987
442000,993
443000,999
444000,985
445000,991
446000,1000
447000,960
448000,992
449000,998
450000,996
451000,995
452000,993
453000,982
454000,967
455000,971
456000,618
457000,992
458000,995
459000,998
460000,959
461000,998
462000,982
463000,998
464000,996
465000,976
466000,991
467000,982
468000,978
469000,985
470000,998
471000,979
472000,972
473000,995
474000,996
475000,989
476000,988
477000,982
478000,992
479000,997
480000,992
481000,982
482000,967
483000,992
484000,984
485000,982
486000,990
487000,998
488000,993
489000,995
490000,968
491000,994
492000,989
493000,984
494000,990
495000,997
496000,954
497000,983
498000,999
499000,943
500000,996
