reads,cache_misses
100000,0
101000,0
102000,1
103000,1
104000,1
105000,2
106000,1
107000,0
108000,0
109000,1
110000,2
111000,0
112000,0
113000,0
114000,2
115000,1
116000,2
117000,1
118000,1
119000,0
120000,1
121000,0
122000,2
123000,3
124000,0
125000,1
126000,0
127000,0
128000,0
129000,0
130000,1
131000,0
132000,1
133000,0
134000,0
135000,0
136000,1
137000,0
138000,2
139000,1
140000,0
141000,2
142000,0
143000,0
144000,2
145000,2
146000,0
147000,0
148000,1
149000,2
150000,3
151000,0
152000,3
153000,0
154000,4
155000,2
156000,2
157000,11
158000,0
159000,9
160000,9
161000,25
162000,14
163000,15
164000,9
165000,20
166000,8
167000,7
168000,8
169000,6
170000,13
171000,23
172000,9
173000,52
174000,12
175000,9
176000,18
177000,48
178000,12
179000,7
180000,12
181000,4
182000,8
183000,3
184000,20
185000,11
186000,3
187000,19
188000,3
189000,5
190000,7
191000,4
192000,6
193000,1
194000,3
195000,3
196000,5
197000,6
198000,8
199000,3
200000,6
201000,3
202000,0
203000,3
204000,3
205000,0
206000,6
207000,7
208000,2
209000,3
210000,8
211000,6
212000,68
213000,50
214000,72
215000,70
216000,27
217000,72
218000,72
219000,64
220000,72
221000,71
222000,85
223000,65
224000,66
225000,79
226000,66
227000,67
228000,68
229000,78
230000,66
231000,71
232000,78
233000,59
234000,75
235000,66
236000,80
237000,81
238000,72
239000,82
240000,76
241000,74
242000,80
243000,78
244000,71
245000,76
246000,79
247000,85
248000,73
249000,86
250000,58
251000,79
252000,81
253000,92
254000,88
255000,78
256000,86
257000,87
258000,77
259000,52
260000,84
261000,86
262000,82
263000,82
264000,86
265000,93
266000,91
267000,88
268000,91
269000,86
270000,93
271000,90
272000,87
273000,91
274000,96
275000,91
276000,96
277000,84
278000,90
279000,88
280000,83
281000,91
282000,94
283000,98
284000,90
285000,95
286000,98
287000,94
288000,99
289000,96
290000,95
291000,96
292000,100
293000,95
294000,100
295000,63
296000,91
297000,98
298000,50
299000,84
300000,96
301000,98
302000,98
303000,98
304000,97
305000,99
306000,99
307000,99
308000,98
309000,99
310000,98
311000,98
312000,97
313000,97
314000,98
315000,93
316000,95
317000,98
318000,98
319000,97
320000,97
321000,96
322000,98
323000,99
324000,76
325000,98
326000,88
327000,96
328000,97
329000,98
330000,97
331000,99
332000,99
333000,98
334000,82
335000,98
336000,98
337000,100
338000,100
339000,98
340000,90
341000,98
342000,99
343000,98
344000,98
345000,99
346000,99
347000,85
348000,97
349000,70
350000,100
351000,99
352000,98
353000,97
354000,99
355000,98
356000,99
357000,98
358000,99
359000,98
360000,98
361000,95
362000,78
363000,99
364000,98
365000,98
366000,98
367000,99
368000,100
369000,99
370000,99
371000,99
372000,78
373000,98
374000,97
375000,99
376000,100
377000,99
378000,98
379000,99
380000,91
381000,97
382000,98
383000,98
384000,92
385000,98
386000,98
387000,98
388000,99
389000,96
390000,99
391000,98
392000,99
393000,99
394000,99
395000,98
396000,99
397000,100
398000,100
399000,99
400000,100
401000,98
402000,100
403000,99
404000,100
405000,98
406000,98
407000,88
408000,98
409000,98
410000,98
411000,99
412000,99
413000,99
414000,100
415000,97
416000,99
417000,99
418000,98
419000,99
420000,99
421000,99
422000,99
423000,98
424000,98
425000,98
426000,97
427000,98
428000,99
429000,100
430000,99
431000,99
432000,99
433000,100
434000,98
435000,100
436000,99
437000,98
438000,91
439000,98
440000,99
441000,100
442000,100
443000,98
444000,99
445000,98
446000,100
447000,98
448000,96
449000,100
450000,99
451000,100
452000,99
453000,99
454000,98
455000,99
456000,100
457000,100
458000,95
459000,99
460000,98
461000,100
462000,100
463000,100
464000,93
465000,99
466000,100
467000,99
468000,99
469000,100
470000,99
471000,99
472000,99
473000,99
474000,99
475000,99
476000,99
477000,99
478000,100
479000,99
480000,100
481000,100
482000,99
483000,100
484000,99
485000,99
486000,99
487000,100
488000,97
489000,94
490000,100
491000,95
492000,99
493000,100
494000,98
495000,99
496000,98
497000,98
498000,98
499000,98
