reads,cache_misses
100000,1
101000,1
102000,1
103000,3
104000,4
105000,0
106000,4
107000,0
108000,0
109000,3
110000,1
111000,0
112000,9
113000,0
114000,4
115000,0
116000,0
117000,0
118000,0
119000,1
120000,3
121000,2
122000,1
123000,0
124000,1
125000,0
126000,0
127000,2
128000,0
129000,1
130000,2
131000,0
132000,2
133000,2
134000,1
135000,0
136000,1
137000,3
138000,2
139000,0
140000,0
141000,1
142000,7
143000,12
144000,4
145000,13
146000,12
147000,4
148000,2
149000,6
150000,5
151000,6
152000,24
153000,7
154000,12
155000,10
156000,3
157000,0
158000,3
159000,1
160000,1
161000,0
162000,0
163000,0
164000,0
165000,6
166000,2
167000,4
168000,2
169000,17
170000,2
171000,8
172000,9
173000,38
174000,23
175000,41
176000,27
177000,1
178000,27
179000,3
180000,23
181000,2
182000,23
183000,33
184000,47
185000,3
186000,3
187000,1
188000,41
189000,5
190000,1
191000,0
192000,10
193000,1
194000,55
195000,7
196000,13
197000,4
198000,1
199000,4
200000,14
201000,10
202000,3
203000,5
204000,0
205000,4
206000,1
207000,12
208000,8
209000,12
210000,18
211000,3
212000,5
213000,7
214000,1
215000,2
216000,5
217000,2
218000,0
219000,5
220000,5
221000,3
222000,7
223000,1
224000,4
225000,2
226000,1
227000,2
228000,4
229000,3
230000,2
231000,2
232000,3
233000,10
234000,1
235000,11
236000,70
237000,87
238000,72
239000,78
240000,76
241000,83
242000,89
243000,85
244000,81
245000,81
246000,74
247000,72
248000,77
249000,78
250000,81
251000,70
252000,91
253000,84
254000,90
255000,84
256000,70
257000,67
258000,81
259000,84
260000,76
261000,73
262000,9
263000,68
264000,5
265000,91
266000,77
267000,85
268000,75
269000,77
270000,86
271000,84
272000,75
273000,78
274000,69
275000,82
276000,51
277000,78
278000,67
279000,88
280000,92
281000,74
282000,81
283000,80
284000,23
285000,83
286000,93
287000,87
288000,81
289000,86
290000,89
291000,87
292000,16
293000,78
294000,82
295000,75
296000,91
297000,89
298000,94
299000,73
300000,87
301000,85
302000,67
303000,92
304000,88
305000,87
306000,90
307000,93
308000,89
309000,95
310000,83
311000,94
312000,54
313000,98
314000,73
315000,95
316000,93
317000,88
318000,80
319000,79
320000,83
321000,83
322000,79
323000,92
324000,6
325000,75
326000,77
327000,93
328000,70
329000,88
330000,65
331000,88
332000,16
333000,87
334000,88
335000,31
336000,90
337000,80
338000,83
339000,66
340000,78
341000,87
342000,69
343000,78
344000,98
345000,96
346000,88
347000,90
348000,64
349000,89
350000,96
351000,90
352000,93
353000,22
354000,81
355000,92
356000,73
357000,93
358000,88
359000,73
360000,97
361000,96
362000,66
363000,76
364000,84
365000,92
366000,94
367000,91
368000,84
369000,96
370000,89
371000,94
372000,92
373000,4
374000,93
375000,68
376000,78
377000,93
378000,79
379000,28
380000,76
381000,71
382000,96
383000,78
384000,74
385000,79
386000,89
387000,95
388000,89
389000,84
390000,97
391000,90
392000,85
393000,91
394000,91
395000,88
396000,72
397000,80
398000,94
399000,93
400000,93
401000,86
402000,93
403000,95
404000,97
405000,80
406000,89
407000,90
408000,77
409000,76
410000,93
411000,92
412000,3
413000,95
414000,80
415000,80
416000,82
417000,85
418000,2
419000,89
420000,93
421000,90
422000,91
423000,96
424000,99
425000,91
426000,95
427000,85
428000,90
429000,93
430000,84
431000,87
432000,89
433000,92
434000,99
435000,97
436000,91
437000,87
438000,92
439000,98
440000,94
441000,86
442000,82
443000,95
444000,88
445000,99
446000,96
447000,99
448000,17
449000,95
450000,96
451000,95
452000,87
453000,26
454000,86
455000,96
456000,95
457000,94
458000,93
459000,92
460000,98
461000,15
462000,86
463000,92
464000,99
465000,90
466000,70
467000,77
468000,93
469000,97
470000,100
471000,97
472000,87
473000,90
474000,93
475000,100
476000,94
477000,83
478000,91
479000,97
480000,84
481000,96
482000,82
483000,94
484000,94
485000,84
486000,82
487000,21
488000,87
489000,99
490000,99
491000,98
492000,3
493000,5
494000,5
495000,2
496000,72
497000,94
498000,98
499000,98
500000,3
