reads,cache_misses
100000,17
101000,4
102000,17
103000,1
104000,5
105000,2
106000,0
107000,0
108000,0
109000,1
110000,1
111000,1
112000,0
113000,0
114000,2
115000,1
116000,0
117000,1
118000,48
119000,14
120000,0
121000,2
122000,2
123000,0
124000,3
125000,1
126000,0
127000,0
128000,1
129000,1
130000,1
131000,2
132000,0
133000,0
134000,0
135000,0
136000,3
137000,0
138000,5
139000,0
140000,5
141000,1
142000,1
143000,1
144000,1
145000,13
146000,1
147000,1
148000,5
149000,7
150000,0
151000,1
152000,3
153000,1
154000,9
155000,5
156000,4
157000,2
158000,0
159000,4
160000,13
161000,10
162000,8
163000,2
164000,4
165000,8
166000,18
167000,20
168000,0
169000,2
170000,3
171000,1
172000,13
173000,11
174000,1491
175000,1080
176000,22
177000,31
178000,37
179000,366
180000,67
181000,53
182000,73
183000,61
184000,48
185000,524
186000,46
187000,5
188000,290
189000,45
190000,59
191000,303
192000,841
193000,99
194000,1672
195000,94
196000,1019
197000,767
198000,69
199000,523
200000,1003
201000,21
202000,148
203000,68
204000,178
205000,1761
206000,1244
207000,262
208000,603
209000,285
210000,1070
211000,863
212000,784
213000,502
214000,947
215000,430
216000,543
217000,503
218000,404
219000,65
220000,818
221000,885
222000,598
223000,1098
224000,85
225000,530
226000,1062
227000,1126
228000,649
229000,310
230000,232
231000,488
232000,1288
233000,224
234000,239
235000,407
236000,674
237000,164
238000,393
239000,326
240000,154
241000,317
242000,517
243000,538
244000,267
245000,119
246000,191
247000,976
248000,1285
249000,464
250000,163
251000,180
252000,189
253000,943
254000,968
255000,181
256000,147
257000,192
258000,183
259000,178
260000,1161
261000,506
262000,1056
263000,569
264000,189
265000,770
266000,317
267000,802
268000,712
269000,796
270000,381
271000,99
272000,198
273000,134
274000,208
275000,69
276000,444
277000,845
278000,1096
279000,681
280000,355
281000,1169
282000,237
283000,525
284000,298
285000,806
286000,1263
287000,315
288000,1075
289000,1477
290000,1513
291000,562
292000,1134
293000,1148
294000,1369
295000,1678
296000,564
297000,1372
298000,1305
299000,1179
300000,1684
301000,1709
302000,1226
303000,1774
304000,1806
305000,972
306000,560
307000,1860
308000,1755
309000,1330
310000,1609
311000,1749
312000,1502
313000,1813
314000,1427
315000,1560
316000,897
317000,1839
318000,1286
319000,1762
320000,1370
321000,1648
322000,943
323000,1116
324000,1848
325000,1518
326000,1643
327000,1780
328000,1718
329000,1717
330000,1871
331000,1383
332000,189
333000,1713
334000,1654
335000,1060
336000,1571
337000,1456
338000,1382
339000,1793
340000,1624
341000,1740
342000,1695
343000,1586
344000,1516
345000,1340
346000,1587
347000,1805
348000,1937
349000,1613
350000,1940
351000,1626
352000,1915
353000,1669
354000,1102
355000,1825
356000,1292
357000,1920
358000,1832
359000,1275
360000,1810
361000,1623
362000,1838
363000,1875
364000,1880
365000,1727
366000,1687
367000,1825
368000,1955
369000,1904
370000,1459
371000,1641
372000,889
373000,1841
374000,1865
375000,1883
376000,1684
377000,1830
378000,1749
379000,1745
380000,1946
381000,1804
382000,1143
383000,1426
384000,1737
385000,1705
386000,1726
387000,1749
388000,1749
389000,1647
390000,1914
391000,1860
392000,1879
393000,1977
394000,1973
395000,1591
396000,1426
397000,1576
398000,1666
399000,1162
400000,961
401000,1904
402000,1956
403000,1424
404000,1612
405000,1724
406000,1645
407000,1764
408000,1485
409000,1807
410000,1568
411000,1905
412000,1961
413000,1850
414000,1864
415000,1973
416000,1581
417000,1634
418000,1401
419000,1896
420000,1626
421000,1851
422000,1724
423000,772
424000,1218
425000,1900
426000,1331
427000,1937
428000,1902
429000,1959
430000,1935
431000,1879
432000,1965
433000,1872
434000,1926
435000,1955
436000,1976
437000,1488
438000,1828
439000,1959
440000,1870
441000,1763
442000,1949
443000,1922
444000,1982
445000,1592
446000,1979
447000,1966
448000,1889
449000,1781
450000,1790
451000,1891
452000,1951
453000,1886
454000,1961
455000,1963
456000,1970
457000,1717
458000,1910
459000,1962
460000,1978
461000,1877
462000,1931
463000,1946
464000,1741
465000,1868
466000,1623
467000,1935
468000,1888
469000,1941
470000,1760
471000,1997
472000,1994
473000,1873
474000,1923
475000,1934
476000,1058
477000,1769
478000,1931
479000,1855
480000,1633
481000,1953
482000,1774
483000,1657
484000,1955
485000,1987
486000,1994
487000,1970
488000,1959
489000,1988
490000,1998
491000,1880
492000,1984
493000,1987
494000,1955
495000,1984
496000,1991
497000,1965
498000,1782
499000,1977
500000,1943
